achieved_fpr,best_c,layer,model_name,n_examples,n_negative,n_positive,positive_prediction_rate,positive_predictions,roc_auc,split,threshold,tpr_at_threshold
0.009433962264150943,,,tfidf_lr,,,,,111,0.9245059993755297,val,0.7358065949289977,0.3829787234042553
0.015197568389057751,,,tfidf_lr,,,,,108,0.9275788198611469,test,0.7358065949289977,0.3800738007380074
0.022239872915011914,,,tfidf_lr,2000,1259,741,0.033,66,0.6402367193722069,adversarial,0.7358065949289977,0.05128205128205128
0.009433962264150943,0.1,20,dense_probe,,,,,262,0.9953499264017127,val,0.6941169856745609,0.9184397163120568
0.030395136778115502,0.1,20,dense_probe,,,,,256,0.9912291524131047,test,0.6941169856745609,0.9077490774907749
0.10881652104845115,,20,dense_probe,2000,1259,741,0.2775,555,0.8346083636414308,adversarial,0.6941169856745609,0.5641025641025641
0.009433962264150943,0.01,31,sae_probe,,,,,256,0.9948258173870378,val,0.8173256809817798,0.8971631205673759
0.0121580547112462,0.01,31,sae_probe,,,,,241,0.9918572438004015,test,0.8173256809817798,0.8745387453874539
0.05242255758538523,,31,sae_probe,2000,1259,741,0.2935,587,0.9343469261532888,adversarial,0.8173256809817798,0.7031039136302294
0.009433962264150943,,25,latent_guard,,,,,235,0.9821579909897855,val,-43.36671447753906,0.8226950354609929
0.0121580547112462,,25,latent_guard,,,,,217,0.9818189975212823,test,-43.36671447753906,0.7859778597785978
0.007148530579825258,,25,latent_guard,2000,1259,741,0.146,292,0.877812543211147,adversarial,-43.36671447753906,0.38191632928475033
